smiles,TC,SA,SC,atom_count
*CC(*)(C)C(=O)OCc1cccc([N+](=O)[O-])c1,0.158,3.749516574,2.340226022,18
*CC(*)(Cl)C(=O)OCC,0.1985,4.961277668,1.758639605,10
*CC(*)(Cl)C(=O)OC(C)CC,0.174,5.083490991,2.515043259,12
*CC(*)(Cl)C(=O)OC1CCCCC1,0.1365,4.228128596,2.344198488,14
*CC(*)C(=O)NC(C)C,0.203,4.878294899,2.363715317,10
*CC(*)C(=O)N(CCCC)CCCC,0.211,4.053138882,2.502797679,15
*CC(*)C(=O)NCCCCCCCCCCCC,0.3435,3.487095411,2.5484113,19
*CC(*)C(=O)NCCCCCCCCCCCCCC,0.374666667,3.406137304,2.5484113,21
*CC(*)C(=O)NCCCCCCCCCCCCCCCCCC,0.383,3.317509887,2.5484113,25
*CC(*)C(=O)NCCCCCCCCCCCCCCCCCCCCCC,0.3665,3.243011323,2.5484113,29
*CC(*)C(=O)OC(CC)CC,0.213,4.81019699,2.38418602,12
*CC(*)(C)C(=O)Oc1cccc(C)c1,0.151,3.841012344,2.144328957,15
*CC(*)C(=O)OCC(CC)CCCC,0.231,4.485521395,2.486948187,15
*CC(*)C(=O)OCCCCCCCCC,0.281,3.75059735,2.700456845,16
*CC(*)C(=O)OC1CCCCC1,0.201,4.215646667,2.202371784,13
*CC(*)C(=O)OC1CC(C)CC(C)(C)C1,0.2205,4.925474397,2.870423687,16
*CC(*)(C)C(=O)OCCCCCCCCCC,0.259,3.652862296,2.451969631,18
*CC(*)(C)C(=O)OC1CC2CCC1(C)C2(C)C,0.143,5.673459297,2.603852603,18
*CC(*)(Cl)C(=O)OCCC,0.173,4.795233078,2.26081897,11
*CC(*)(Cl)C(=O)OCCCC,0.178,4.505880861,2.116578446,12
*CC(*)(C#N)C(=O)OC,0.161,5.378683822,1.808101317,10
*CC(*)C(=O)OCC(C)CC,0.221,4.940937244,2.550422421,12
*CC(*)C(=O)OC(C)CCCCC,0.2405,4.504688394,3.032979757,14
*CC(*)C(=O)OC(C)CCCCCC,0.245,4.361466779,3.142890387,15
*CC(*)C(=O)OCC(CC)CC,0.2095,4.593436034,2.286488132,13
*CC(*)C(=O)OCC(C)(C)C,0.2115,4.792507709,2.194629621,12
*CC(*)C(=O)OC(C)CC(C)C,0.207,4.824613236,2.414263104,13
*CC(*)C(=O)OC(CCC(CC)CCCC)CC(C)C,0.232,4.544287674,3.400672367,21
*CC(*)C(=O)OCCC#N,0.195,4.999804203,2.107456608,11
*CC(*)C(=O)OCCSC,0.181,4.940041338,2.513293787,11
*CC(*)C(=O)OCCCSC,0.211,4.684247517,2.639782563,12
*CC(*)C(=O)OCCSCC,0.2175,4.817849921,2.647714285,12
*CC(*)C(=O)OCCCCSC,0.2005,4.469781502,2.702570439,13
*CC(*)C(=O)OCCCSCC,0.2155,4.611237766,2.861747046,13
*CC(*)C(=O)OCCSCC#N,0.183,4.965655788,2.621367954,13
*CC(*)C(=O)OCCSCCC#N,0.1875,4.779077989,2.564963003,14
*CC(*)C(=O)OCCSCCCC#N,0.18,4.59208497,2.708387547,15
*CC(*)C(=O)OCCCSCCC#N,0.219,4.613826809,2.905595708,15
*CC(*)C(=O)OCCCCCCSCC#N,0.2175,4.314044285,3.187851853,17
*CC(*)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,0.1635,6.275279233,3.01433887,19
*CC(*)C(=O)N1CCCCC1,0.218,4.148969108,2.223820704,12
*CC(*)C(=O)N1CCOCC1,0.212,4.309420856,2.39868076,12
*CC(*)C(=O)Oc1ccccc1,0.196,3.813915898,2.183130584,13
